Ship overall,Ship rooms,F&B quality overall,F&B service overall,F&B quality main dining,Entertainment,Excursions,drinks offerings,bar service,cabin cleanliness,crew friendliness,Sentiment analysis,Primary issues mentioned,Review
4.0,,5.0,,5.0,,,,,,,,,"Based on the guest review, I would rate the following areas as follows:

1. Ship Overall: 4/10
The guest mentions that there were ""too many problems"" with the ship, but does not provide specific details. This suggests that the overall experience was disappointing.

2. Ship Rooms: N/A (no mention of room quality or issues)
3. F&B Quality Overall: 5/10
The guest mentions that the food in three restaurants was ""not great"", which is a negative comment. However, they also mention that there were no complaints about the island, suggesting that some aspects of the food and beverage experience may have been satisfactory.

4. F&B Staff Service Overall: N/A (no mention of staff service)
5. F&B Quality Main Dining: 5/10
Similar to the overall F&B quality rating, this is based on a single negative comment about the main dining restaurants.

6. Entertainment: N/A (no mention of entertainment)
7. Excursions: N/A (no mention of excursion experiences)

8. Primary Issues Mentioned:
- Poor food quality in three restaurants
- Spoiled 80th birthday celebration due to prepaid cake not being available or being overpriced
- Abandoned at Tennerife Airport and poor treatment upon return home

9. Sentiment Analysis: -5/10 (very negative sentiment, with the guest expressing frustration and disappointment with their experience)

Note that the guest's request for a formal complaint form suggests that they were not satisfied with the response to their complaints and are seeking further action."
4.0,3.0,,2.0,,,,,,,,1.0,9,"Based on the guest review, here are my scores:

1. Ship Overall: 4/10
The guest mentions several negative experiences with the ship, including issues with water quality, a non-accessible balcony, and poor service.

2. Ship Rooms: 3/10
The guest specifically mentions that the room was not suitable for their son with autism, which is a significant concern. They also mention that they were told it was a quiet room but it wasn't.

3. F&B Quality Overall: N/A (not mentioned)
There is no mention of food quality in this review.

4. F&B Staff Service Overall: 2/10
The guest mentions that the staff did not provide adequate service, specifically with regards to their son's needs and the room's accessibility.

5. F&B Quality Main Dining: N/A (not mentioned)
There is no mention of food quality in this review.

6. Entertainment: N/A (not mentioned)
There is no mention of entertainment in this review.

7. Excursions: N/A (not mentioned)
There is no mention of excursions in this review.

8. Primary Issues Mentioned: 9/10
The guest mentions several primary issues, including:
- Water quality not meeting expectations
- Non-accessible balcony
- Poor service with regards to their son's needs
- Room not suitable for autism

However, I would rate the sentiment of these issues as more negative than positive, so I'm giving a lower score overall.

9. Sentiment Analysis: 1/10
The guest's tone is overwhelmingly negative, expressing frustration and disappointment with their experience on the ship. They explicitly state that they would not recommend the room or the money they paid for it, which further reinforces this sentiment."
6.0,7.0,5.0,6.0,4.0,2.0,1.0,,,,,,4,"Based on the guest review, I've scored each area as follows:

1. Ship Overall: 6/10
The guest mentions some positive aspects of the ship, such as the crew serving in the dining area and the provision of hangers with proper hooks in the rooms. However, they also mention several negative points, including poor entertainment, mediocre food, and issues with excursions.

2. Ship Rooms: 7/10
The guest praises the compactness of their room and the provision of hangers with proper hooks, but notes that the rooms are not ideal for those who value space.

3. F&B Quality Overall: 5/10
The guest mentions that most of the service was good, but also criticizes the food as mediocre and the entertainment as rubbish.

4. F&B Staff Service Overall: 6/10
The guest praises the crew serving in the dining area for working hard, but notes that some staff members could have had help behind the bar.

5. F&B Quality Main Dining: 4/10
The guest criticizes the food quality, citing an example of a deep-fried apple pie with a poor filling.

6. Entertainment: 2/10
The guest describes the entertainment as ""rubbish"" and notes that there are no quiet areas on board unless you go to deck in the cold and dark.

7. Excursions: 1/10
The guest had a disastrous experience with the Morocco excursion, describing it as ""horrific"" and feeling taken advantage of by the guide.

8. Primary Issues Mentioned: 4/10
The guest mentions several primary issues, including poor entertainment, mediocre food, and problems with excursions. However, they also mention some positive aspects, such as good service in the dining area and comfortable rooms.

9. Sentiment Analysis:
The sentiment of this review is overwhelmingly negative. The guest expresses frustration and disappointment with various aspects of their cruise experience, from the entertainment to the excursions. They also feel taken advantage of by the guide on the Morocco excursion. However, they do mention some positive aspects, such as good service in the dining area and comfortable rooms.

Overall, this review highlights several areas for improvement for the cruise line, including entertainment, food quality, and excursion management."
6.0,,5.0,3.0,4.0,,,,,,,2.0,,"Based on the guest review, here are my scores:

1. Ship Overall: 6/10
The guest mentions that this was not their best TUI cruise experience and compares it unfavorably to previous ones. They also mention ""a lot of cut backs"" on board, which suggests a decline in quality.

2. Ship Rooms: N/A (no specific comments about the rooms)
3. F&B Quality Overall: 5/10
The guest mentions two bad meals in the 47 restaurant and had to ask multiple times for water and wine. They also mention that they were only offered a glass of preseco on their previous cruise, but only water this time.

4. F&B Staff Service Overall: 3/10
The guest's experience with the staff seems poor, particularly at the meet and greet. They also had to ask multiple times for basic needs like water and wine.

5. F&B Quality Main Dining: 4/10
Similar to the overall F&B quality score, the guest mentions two bad meals in the main dining restaurant.

6. Entertainment: N/A (no specific comments about entertainment)
7. Excursions: N/A (no specific comments about excursions)

8. Primary Issues Mentioned:
- Poor meet and greet experience
- Lack of drink options (preseco vs water only)
- Bad meals in 47 restaurant
- Long wait times for basic needs like water and wine

9. Sentiment Analysis: 2/10
The guest's sentiment is overwhelmingly negative, with a clear statement that they would not do another cruise on this ship. The tone is disappointed and frustrated, indicating a high level of dissatisfaction."
6.0,,7.0,8.0,,2.0,,,,,,,,"Based on the provided guest review, here are the scores:

1. Ship Overall: 6/10
The guest mentions that the ship is ""getting outdated"", which suggests a decline in quality or condition over time.

2. Ship Rooms: N/A (no mention of room quality)
There is no feedback about the rooms themselves, so I couldn't assign a score.

3. F&B Quality Overall: 7/10
The guest mentions that meals were ""fine"", but doesn't provide any negative comments about food quality. However, they do mention that wines on the drinks package were ""terrible"", which brings down the overall score slightly.

4. F&B Staff Service Overall: 8/10
The guest praises the crew as being ""very nice and helpful"", indicating good service from the staff.

5. F&B Quality Main Dining: N/A (no specific comments about main dining)
There is no feedback about the quality of main dining, so I couldn't assign a score.

6. Entertainment: 2/10
The guest explicitly states that the entertainment was ""poor"", which is a clear negative comment.

7. Excursions: N/A (no mention of excursions)
There is no feedback about excursions, so I couldn't assign a score.

8. Primary Issues Mentioned: Poor entertainment and outdated ship.
These are the two main issues mentioned by the guest.

9. Sentiment Analysis:
The overall sentiment of the review is negative, with the guest expressing disappointment and frustration with their experience. The tone is somewhat critical, but also acknowledges some positive aspects (e.g., good crew service)."
2.0,,4.0,1.0,,,,,,,,,1,"Based on the guest review, I would rate the following attributes:

1. Ship Overall: 2/10
The guest's experience was severely impacted by a mistake made by the ship staff, which led to them being seated in unsuitable seats due to their husband's disability.

2. Ship Rooms: N/A (not mentioned)
The guest review does not mention anything about the quality or condition of their room.

3. F&B Quality Overall: 4/10
Although the guest did not specifically mention any issues with food quality, they were unhappy with their overall experience and felt that the staff was unhelpful.

4. F&B Staff Service Overall: 1/10
The guest expressed extreme dissatisfaction with the service they received from the ship's staff, particularly in regards to their seating arrangements and lack of sympathy for their medical condition.

5. F&B Quality Main Dining: N/A (not mentioned)
Similar to Ship Rooms, the guest review does not mention anything about the quality of the main dining experience.

6. Entertainment: N/A (not mentioned)
The guest review does not mention anything about the entertainment options on board.

7. Excursions: N/A (not mentioned)
The guest review also does not mention anything about excursions or their experiences with shore-based activities.

8. Primary Issues Mentioned: 1/10
The primary issue mentioned by the guest was the mistake made by the ship staff regarding their seating arrangements, which led to them being unhappy and feeling unhelped.

9. Sentiment Analysis:
The sentiment of this review is extremely negative, with the guest expressing feelings of anger, frustration, and disappointment. They also mention that they ""Would love for someone to actually read this and get in touch!"", indicating a desire for resolution and customer service."
8.0,,7.0,,7.0,,4.0,,,,,6.0,2,"Based on the guest review, I've scored each area as follows:

1. Ship Overall: 8/10
The guest enjoyed their time on the ship, indicating a positive experience. However, they mentioned some issues with excursion information and sun bed availability.

2. Ship Rooms: N/A (No specific comments about room quality or amenities)

3. F&B Quality Overall: 7/10
The guest mentioned that they ""enjoyed most of"" their dining experiences, but also had a disappointing experience with sun bed availability, which could be related to the food and beverage service.

4. F&B Staff Service Overall: N/A (No specific comments about staff service or quality)

5. F&B Quality Main Dining: 7/10
Similar to the overall F&B quality score, the guest enjoyed most of their dining experiences but had a disappointing experience with sun bed availability.

6. Entertainment: N/A (No specific comments about entertainment options or quality)

7. Excursions: 4/10
The guest mentioned that some excursions were ""some we could have done without,"" indicating a lack of enthusiasm for certain excursion options.

8. Primary Issues Mentioned: 2/10
The primary issues mentioned by the guest were:
- Lack of information about excursion locations and availability in advance.
- Sun bed rules not being consistently enforced, leading to disappointment when they couldn't get a sun bed.

9. Sentiment Analysis: 6/10
The overall sentiment of the review is positive, but with some criticisms and disappointments. The guest mentions that their experience was ""good"" but also compares it unfavorably to other cruises they've taken, indicating some room for improvement."
6.0,4.0,8.0,9.0,,,,,,,,5.0,2,"Based on the guest review, I would rate the following areas:

1. Ship Overall: 6/10
The guest mentions that the overall cruise was ""fine"", which suggests a neutral experience. However, they also mention several negative aspects (engine noise, vibrations, noisy room), which brings down the score.

2. Ship Rooms: 4/10
The guest expresses disappointment with their room's noise level and lack of consideration for reassigning them to a quieter room. This is a significant issue that affects their overall experience.

3. F&B Quality Overall: 8/10
The guest mentions that the food was ""plentiful"", which suggests a positive aspect of their dining experience. However, they do not mention anything negative about the quality of the food.

4. F&B Staff Service Overall: 9/10
The guest praises the staff as ""brilliant"", indicating excellent service.

5. F&B Quality Main Dining: N/A (not mentioned)
Since the guest does not specifically comment on the main dining experience, I would rate this area as 'n/a'.

6. Entertainment: N/A (not mentioned)
Similarly, the guest does not mention anything about the entertainment options or quality.

7. Excursions: N/A (not mentioned)
The guest also does not mention any excursions or their experiences with them.

8. Primary Issues Mentioned: 2/10
The primary issues mentioned by the guest are:
- Engine noise and vibrations
- Noisy room

These issues seem to be significant enough to impact their overall experience, but they do not dominate the review.

9. Sentiment Analysis: 5/10
The sentiment of the review is mixed, with both positive (staff, food) and negative comments (room noise, lack of consideration). The guest's tone is generally disappointed and frustrated, which brings down the sentiment score."
6.0,5.0,4.0,9.0,3.0,2.0,4.0,,,,,,,"Based on the guest review, here are my scores:

1. Ship Overall: 6/10
The guest mentions that they are overall disappointed with their experience, which suggests a mediocre rating.

2. Ship Rooms: 5/10
The guest describes their cabin as ""just adequate"" and mentions poor bathrooms, indicating some issues with the room quality.

3. F&B Quality Overall: 4/10
The guest expresses disappointment with the food, stating it was always cold and repetitive. They also mention that certain restaurants (Surf an Turf and Kora La) were overpriced and of poor choice.

4. F&B Staff Service Overall: 9/10
The guest praises the staff as ""very pleasant"" and ""helpful"", indicating excellent service.

5. F&B Quality Main Dining: 3/10
Similar to the overall F&B quality score, the guest is disappointed with the main dining experience.

6. Entertainment: 2/10
The guest mentions that the entertainment was lacking, specifically stating that all quizzes were missing.

7. Excursions: 4/10
The guest expresses disappointment with the excursion options, finding them limited and expensive.

8. Primary Issues Mentioned: Food quality (cold and repetitive), room quality (poor bathrooms), and limited excursion options.

9. Sentiment Analysis:
The sentiment of the review is overwhelmingly negative, with the guest expressing disappointment and frustration with various aspects of their cruise experience. The only positive comment is about the staff service, but it's not enough to outweigh the other criticisms."
6.0,,4.0,3.0,,,,,,,,,,"Based on the guest review, I would rate the following areas as follows:

1. Ship Overall: 6/10
The guest mentions that the restaurant food and service let them down, which suggests some issues with the overall experience. However, they do not mention any other specific complaints or praises.

2. Ship Rooms: N/A (no mention of room quality)

3. F&B Quality Overall: 4/10
The guest expresses disappointment with the food and service in the restaurant, which suggests a lower rating for the overall quality of the food and beverage options.

4. F&B Staff Service Overall: 3/10
The guest mentions that the service was slow, particularly in certain areas (47 and deck 5), which suggests a lower rating for the staff's service overall.

5. F&B Quality Main Dining: N/A (no specific mention of main dining quality)

6. Entertainment: N/A (no mention of entertainment options or experiences)

7. Excursions: N/A (no mention of excursion experiences or quality)

8. Primary Issues Mentioned:
- Slow service in certain areas
- Restaurant food and service issues
- Glasshouse temperature issue

9. Sentiment Analysis: Negative (the guest uses words like ""disappointed"" and ""very disappointed"", indicating a negative sentiment towards their experience)"
