Ship overall,Ship rooms,F&B quality overall,F&B service overall,F&B quality main dining,Entertainment,Excursions,drinks offerings,bar service,cabin cleanliness,crew friendliness,Sentiment analysis,Primary issues mentioned,Review
6.0,,7.0,,,,,,,,,2.0,4,"Based on the provided guest review, I would rate the attributes as follows:

1. Ship Overall: 6/10
The guest mentions they didn't enjoy their cruise experience overall, but doesn't provide specific reasons or complaints that would warrant a lower score.

2. Ship Rooms: N/A (no mention of room quality)

3. F&B Quality Overall: 7/10
Although the guest mentions they didn't enjoy their cruise experience, they don't specifically mention any issues with food quality. This suggests that the food was likely satisfactory, but not exceptional.

4. F&B Service Overall: 6/10
Similar to the food quality, the guest doesn't provide specific feedback on the service, suggesting it was adequate but not outstanding.

5. F&B Quality Main Dining: N/A (no mention of main dining experience)

6. Entertainment: N/A (no mention of entertainment options or experiences)

7. Excursions: N/A (no mention of excursion quality or experiences)

8. Primary Issues Mentioned: 4/10
The guest mentions they didn't enjoy their cruise experience, but doesn't provide specific reasons or complaints that would be considered primary issues.

9. Sentiment Analysis: 2/10
The tone of the review is negative and disappointed, indicating a low sentiment score.

Note: The scores are subjective interpretations based on the provided text and may not reflect the actual quality or performance of the cruise line's attributes."
4.0,,4.0,,,,,,,,,1.0,2,"Based on the guest review, I would rate the following attributes:

1. Ship Overall: 4/10
The guest mentions that the ship has ""gone downhill considerably"" since their previous visit, indicating a decline in overall quality and experience.

2. Ship Rooms: N/A (not mentioned)
There is no mention of the guest's room or any issues they experienced with it.

3. F&B Quality Overall: 4/10
The guest describes the food as ""very bland"" and the drinks as ""watery"", indicating a lack of quality in the food and beverage offerings.

4. F&B Service Overall: 2/10
The guest mentions that no one was willing to help or take blame for the damaged case, suggesting poor service from the crew.

5. F&B Quality Main Dining: N/A (not mentioned)
There is no mention of the quality of main dining in the review.

6. Entertainment: N/A (not mentioned)
Entertainment is not mentioned at all in the review.

7. Excursions: N/A (not mentioned)
Excursions are also not mentioned in the review.

8. Primary Issues Mentioned: 2/10
The guest mentions two primary issues: damaged luggage and poor service from the crew, but these are not explicitly stated as separate issues.

9. Sentiment Analysis: 1/10
The sentiment of the review is extremely negative, with the guest stating that they will not be traveling on Marella Cruise again due to their disappointing experience."
4.0,,6.0,,,,3.0,,,,,,2,"Here are the scores based on the guest review:

1. Ship Overall: 4/10
The guest mentions that the ship looked ""tired"" and had issues with sewage smell, which suggests a lack of maintenance or cleanliness.

2. Ship Rooms: N/A (no mention)
There is no comment about the condition of the rooms in this review.

3. F&B Quality Overall: 6/10
The guest mentions that they found it difficult to find food options for their dairy intolerance and expresses frustration with the lack of catering for other allergies. However, they do not provide a comprehensive assessment of the overall quality of the food.

4. F&B Service Overall: N/A (no mention)
There is no comment about the service in the dining areas or restaurants in this review.

5. F&B Quality Main Dining: N/A (no mention)
As mentioned earlier, there is no comment about the quality of main dining options.

6. Entertainment: N/A (no mention)
The guest does not provide any feedback on the entertainment options on board.

7. Excursions: 3/10
The guest expresses frustration with the excursion experience, citing issues with staff, transportation, and the overall quality of the excursions. They specifically mention two trips that were poorly organized and uncomfortable.

8. Primary Issues Mentioned: 2 (Dairy intolerance catering, Ship maintenance and cleanliness)
These are the primary issues mentioned by the guest in their review.

9. Sentiment Analysis:
The sentiment of this review is overwhelmingly negative. The guest expresses frustration, disappointment, and even anger with various aspects of their cruise experience. However, they do mention one positive aspect (the staff) which suggests that there may be some redeeming qualities to the cruise line."
7.0,6.0,5.0,,,4.0,2.0,,,,,,,"Based on the guest review, I would rate the following attributes:

1. Ship Overall: 7/10
The guest mentions several negative aspects of their experience, but also highlights the positive attitude and helpfulness of the staff.

2. Ship Rooms: 6/10
The guest mentions that their cabin was ""very small"" compared to P&O, which is a negative comment.

3. F&B Quality Overall: 5/10
The guest expresses frustration with the high prices of specialty dining and spa services, which suggests a lower quality experience in this area.

4. F&B Service Overall: 8/10
Despite the frustrations with pricing, the guest praises the staff as ""amazing, very helpful and friendly"", indicating good service overall.

5. F&B Quality Main Dining: N/A
The guest does not mention main dining specifically, so I would rate this attribute as 'n/a'.

6. Entertainment: 4/10
The guest expresses disappointment with the in-flight entertainment options, stating that there were ""not enough films and TV programs to watch"".

7. Excursions: 2/10
The guest mentions that excursions were ""very expensive"", which is a significant negative comment.

8. Primary Issues Mentioned: High prices of specialty services (spa, dining), poor in-flight entertainment, small cabin size compared to P&O, and lack of cleanliness in the gym.

9. Sentiment Analysis:
Overall sentiment: Neutral/Mixed
The guest has both positive and negative comments about their experience. While they praise the staff's helpfulness and friendliness, they express frustration with various aspects of the cruise, including pricing, entertainment options, and cabin size."
,,,,,,,,,,,,,
6.0,,7.0,,,,,,,,,4.0,,"Based on the guest review, here are my scores:

1. Ship Overall: 6/10
The guest mentions that the ship needs modernization and that the sunbed situation is frustrating, but also praises the staff as ""fabulous"".

2. Ship Rooms: N/A (no mention)
3. F&B Quality Overall: 7/10
The guest mentions some issues with food waiting times and pricing, but also notes that the staff are ""fabulous"" in terms of service.

4. F&B Service Overall: 8/10
The guest praises the staff as ""fabulous"", indicating high levels of service quality.

5. F&B Quality Main Dining: N/A (no specific mention)
6. Entertainment: N/A (no mention)
7. Excursions: N/A (no mention)
8. Primary Issues Mentioned:
- Waiting time for food
- Sunbed availability and pricing
- Decoration and modernization of the ship
9. Sentiment Analysis: 4/10
The guest's tone is generally positive, but also expresses frustration with specific issues, which brings down the sentiment analysis score.

Note that some attributes (Entertainment, Excursions, F&B Quality Main Dining) were not mentioned by the guest and are therefore rated as N/A."
7.0,,,,,,6.0,,,,,6.0,,"Based on the guest review, here are my scores:

1. Ship Overall: 7/10
The guest seems to generally enjoy their cruise experience, but mentions some specific issues that need improvement.

2. Ship Rooms: N/A (no mention of room quality or any issues with the rooms)

3. F&B Quality Overall: N/A (no mention of food quality)

4. F&B Service Overall: 8/10
The guest does not specifically mention anything negative about the service, but also doesn't express any enthusiasm or praise for it.

5. F&B Quality Main Dining: N/A (no mention of main dining room quality)

6. Entertainment: N/A (no mention of entertainment options or experiences)

7. Excursions: 6/10
The guest mentions a specific issue with excursion warnings, which suggests that the excursion experience was not up to par.

8. Primary Issues Mentioned:
- Insufficient sunbeds on sea days
- Lack of a simple paper guide for the ship
- Poor communication about ashore safety warnings

9. Sentiment Analysis: 6/10
The guest's tone is generally neutral, but with a hint of frustration and disappointment. They seem to be somewhat dissatisfied with certain aspects of their cruise experience.

Note that some attributes (F&B Quality Overall, F&B Service Overall, Entertainment) are rated as N/A because the guest does not mention them at all in the review."
6.0,,5.0,,3.0,4.0,8.0,,,,,,,"Here are the scores based on the guest review:

1. Ship Overall: 6/10
The guest mentions that the ship facilities were ""not the best but were as expected"", which suggests a neutral opinion. They also mention some positive aspects, such as the cleanliness and friendly staff.

2. Ship Rooms: N/A (no specific comments about room quality)
3. F&B Quality Overall: 5/10
The guest mentions that the food was ""average quality"" and the cocktails were ""disappointing"". However, they do mention a good range of choice and some positive aspects, such as the friendly staff.

4. F&B Service Overall: 8/10
The guest praises the staff, saying they were ""all brilliant - very friendly and willing to help with any issues"".

5. F&B Quality Main Dining: 3/10
The guest expresses disappointment with the quality of food in main dining, stating it was not up to their expectations.

6. Entertainment: 4/10
The guest mentions that daytime entertainment was ""a little too cheesey"" and felt like a budget hotel, but enjoyed the evening entertainment.

7. Excursions: 8/10
The guest booked excursions on all ports of call and was generally satisfied with them, although some were short and seemed expensive.

8. Primary Issues Mentioned: Limited choice in bars (premium package required), poor quality food and cocktails, confusing brand identity

9. Sentiment Analysis:
Overall sentiment is positive, but with some criticisms. The guest had a great time on the cruise, enjoyed the itinerary and staff, but was disappointed with certain aspects of the ship and F&B quality.

Note: Some scores are based on the guest's tone and language, as well as the specific comments they made about each area."
6.0,,7.0,,,,2.0,,,,,,2,"Based on the provided guest review, I would rate the cruise as follows:

1. Ship Overall: 6/10
The guest mentions two significant issues with their experience, which suggests that there were some problems with the ship's operations.

2. Ship Rooms: N/A (no mention of room quality or cleanliness)
Since the guest doesn't mention anything about their cabin or room, I couldn't rate this aspect.

3. F&B Quality Overall: 7/10
The guest mentions being overcharged for excursions they didn't do, which suggests that there might be some issues with pricing or billing. However, they don't specifically mention the quality of food and beverages.

4. F&B Service Overall: N/A (no mention of service quality)
Similar to the ship rooms, the guest doesn't mention anything about the service quality in terms of food and beverage.

5. F&B Quality Main Dining: N/A (no mention of main dining experience)
Again, there's no mention of the quality of the main dining experience.

6. Entertainment: N/A (no mention of entertainment options or quality)
The guest doesn't mention anything about the entertainment options on board.

7. Excursions: 2/10
The guest mentions being overcharged for excursions they didn't do, which is a significant issue. This rating reflects the poor experience in this area.

8. Primary Issues Mentioned: 2 (overcharging for excursions and air con not working)
These are the two main issues mentioned by the guest.

9. Sentiment Analysis:
The sentiment of the review is mostly negative, with a focus on the financial aspect (being overcharged) and a physical issue (air con not working). The tone is somewhat frustrated and disappointed."
7.0,9.0,8.0,,,,2.0,,,,,,4,"Based on the guest review, I would rate the following areas:

1. Ship Overall: 7/10
The guest mentions some positive aspects of their experience, such as the attentiveness and helpfulness of the cabin team, the quality of specialty restaurants, and the niceness of La Romana port. However, they also mention several negative aspects, including expensive and poor-value excursions, unfriendly staff on boat, and issues with dress code policies.

2. Ship Rooms: 9/10
The guest praises the attentiveness and helpfulness of the cabin team, who kept their cabin in excellent condition. This suggests that the rooms were well-maintained and the staff was attentive to their needs.

3. F&B Quality Overall: 8/10
The guest mentions that specialty restaurants were ""very good"", which is a positive aspect. However, they also mention that market place food was sometimes bland, which is a negative aspect.

4. F&B Service Overall: 7/10
The guest praises the staff in general as being good, but notes that they were not as friendly as previous cruises. This suggests that while the service was adequate, it could be improved with more attention to customer satisfaction.

5. F&B Quality Main Dining: N/A
This attribute is not mentioned by the guest.

6. Entertainment: N/A
This attribute is not mentioned by the guest.

7. Excursions: 2/10
The guest expresses disappointment and frustration with the excursions, citing high prices and poor value for money. They also mention a specific incident where a boat was used instead of a catamaran, which was disappointing.

8. Primary Issues Mentioned: 4/10
The guest mentions several primary issues, including expensive and poor-value excursions, unfriendly staff on boat, dress code policies, and bland market place food. However, they do not mention any other significant issues.

9. Sentiment Analysis:
Overall sentiment is mixed, with both positive and negative comments. The guest seems to have had a generally positive experience, but was disappointed by several aspects of their cruise."
