Ship overall,Ship rooms,F&B quality overall,F&B service overall,F&B quality main dining,Entertainment,Excursions,drinks offerings,bar service,cabin cleanliness,crew friendliness,Sentiment analysis,Primary issues mentioned,Review
8.0,,7.0,8.0,,,4.0,,,,,,2,"Based on the guest review, I would rate the following attributes:

1. Ship Overall: 8/10
The guest mentions that the overall experience was excellent, indicating a high level of satisfaction with the ship and its operations.

2. Ship Rooms: N/A (no mention)
There is no feedback provided about the guest's room or accommodations on the ship.

3. F&B Quality Overall: 7/10
The guest does not provide specific feedback about the food quality, but mentions that it was excellent, which suggests a high level of satisfaction.

4. F&B Staff Service Overall: 8/10
Similar to the overall experience, the guest mentions that ""the experience and the staff"" were excellent, indicating high levels of satisfaction with the service.

5. F&B Quality Main Dining: N/A (no mention)
There is no feedback provided about the quality of main dining on the ship.

6. Entertainment: N/A (no mention)
The guest does not provide any feedback about the entertainment options on board.

7. Excursions: 4/10
The guest mentions that the excursions were ""not worth the money spent"", indicating a low level of satisfaction with this aspect of their cruise experience.

8. Primary Issues Mentioned: 2 (short trips and difficulty with navigation app)
These are the two main issues mentioned by the guest, which seem to be related to the value for money and technical issues with the navigation app.

9. Sentiment Analysis: Positive (80%)
The guest's review is generally positive, with phrases such as ""excellent"" and ""the experience and the staff"". However, there are also some negative comments about the excursions and navigation app, which brings the sentiment analysis score down to 80%."
9.0,9.5,8.0,9.0,8.0,9.5,,,,,,,2,"Here are my scores based on the guest review:

1. Ship Overall: 9/10
The guest mentions that the ship is ""kept meticulously clean"" and that the service received in their cabin was excellent, indicating a high level of satisfaction with the overall experience.

2. Ship Rooms: 9.5/10
The guest praises the cleanliness of their cabin and the friendly cabin staff, suggesting that the rooms are well-maintained and the staff is attentive to detail.

3. F&B Quality Overall: 8/10
The guest mentions that the food was ""mostly very good"" but also notes that it was ""a little repetitive"". This suggests that while the quality of the food is generally high, there may be some variation in terms of creativity and consistency.

4. F&B Staff Service Overall: 9/10
The guest praises the friendly crew and mentions that they received a sewing kit as a courtesy, indicating that the staff are attentive to detail and willing to go the extra mile to ensure their guests' needs are met.

5. F&B Quality Main Dining: 8/10 (same score as overall F&B quality)
See above for comments on food quality.

6. Entertainment: 9.5/10
The guest raves about the nightly shows, calling them ""outstanding"" and praising the professionalism of the performers and crew behind the scenes. They also mention that the evening shows in the theatre were excellent.

7. Excursions: N/A (not mentioned)
There is no comment from the guest regarding excursions, so I have rated this as 'n/a'.

8. Primary Issues Mentioned: 2/10
The only primary issue mentioned by the guest is a fault with their safe, which was quickly resolved by the crew. This suggests that the ship's maintenance and repair team are responsive to issues.

9. Sentiment Analysis:
Overall sentiment: Positive (8/10)
The guest had an overwhelmingly positive experience on the Marella Voyager, mentioning many strengths and only one minor issue. The tone of the review is enthusiastic and recommends the cruise highly."
9.0,,8.0,9.0,,,,,,,,9.0,1,"Based on the guest review, I would rate the following areas as follows:

1. Ship Overall: 9/10
The guest mentions that the holiday was ""excellent"" and that they will definitely travel with Marella Cruises again, indicating a high level of satisfaction with their overall experience.

2. Ship Rooms: N/A (no specific comments about the rooms)
However, since staff members like Eugene, Vikash, and Agus are mentioned as being ""first class"", it can be inferred that the guest was satisfied with their accommodation.

3. F&B Quality Overall: 8/10
The guest mentions that the experience was excellent, but also notes a negative point about the premium drinks package not being value for money. This suggests that while they were generally happy with the food and beverage quality, there was one area where they felt it fell short.

4. F&B Staff Service Overall: 9/10
The guest specifically mentions staff members like Eugene, Vikash, Agus, Surinder, and Mary Jane as being ""first class"", indicating high levels of satisfaction with the service provided by the food and beverage staff.

5. F&B Quality Main Dining: N/A (no specific comments about main dining)
However, since the guest mentions that the experience was excellent overall, it can be inferred that they were satisfied with the quality of the main dining options.

6. Entertainment: N/A (no specific comments about entertainment)
The guest does not mention anything about the entertainment on board, so I would rate this area as ""n/a"".

7. Excursions: N/A (no specific comments about excursions)
Similarly, the guest does not mention anything about the excursions offered by the cruise line.

8. Primary Issues Mentioned: 1/10
The only primary issue mentioned by the guest is that the premium drinks package wasn't value for money, which is a relatively minor complaint.

9. Sentiment Analysis: 9/10
The overall sentiment of the review is extremely positive, with the guest expressing gratitude and enthusiasm for their holiday experience. The only negative comment is a relatively minor one, and it does not detract from the overall tone of the review."
8.0,,8.0,7.0,,,,,,,,9.0,2,"Based on the guest review, I would score the following attributes:

1. Ship Overall: 8/10
The guest mentions that they had a ""marvellous experience"" and thought the cruise was ""very good value for money"", indicating a high level of satisfaction with the overall experience.

2. Ship Rooms: N/A (no mention)
There is no mention of the guest's room or any issues they encountered with it.

3. F&B Quality Overall: 8/10
The guest mentions that there were some issues with pre-booking specialty restaurants, but overall seems to be satisfied with the food quality.

4. F&B Staff Service Overall: 7/10
The guest mentions that they had some issues with the Cruise control system, which suggests that the staff may not have been able to resolve the issue promptly or effectively.

5. F&B Quality Main Dining: N/A (no mention)
There is no specific mention of the quality of main dining, but it can be inferred that it was satisfactory based on the overall positive review.

6. Entertainment: N/A (no mention)
The guest does not mention anything about the entertainment options or whether they were satisfied with them.

7. Excursions: N/A (no mention)
There is no mention of the excursions or whether the guest was satisfied with them.

8. Primary Issues Mentioned: 2/10
The primary issues mentioned by the guest are:
- Pre-booking specialty restaurants
- Cruise control system not working

These issues seem to be minor and were resolved without major inconvenience.

9. Sentiment Analysis: 9/10
The overall sentiment of the review is extremely positive, with the guest using words like ""marvellous"" and ""very good value for money"". The only negative comments are minor and do not detract from the overall positive tone of the review."
9.0,,9.0,10.0,,9.0,,,,,,10.0,N/A,"Based on the guest review, I would score the following areas:

1. Ship Overall: 9/10
The guest mentions that the ship is ""amazing"" and that the staff and crew make it even better. They also mention that the ships are ""clean and well run"", which suggests a high level of maintenance and upkeep.

2. Ship Rooms: N/A (not mentioned)
There is no mention of the guest's cabin or room experience in the review.

3. F&B Quality Overall: 9/10
The guest mentions that Flutes, their favorite bar, has ""outstanding"" bar staff who remember their order each time. They also seem to enjoy the food and beverage options on board.

4. F&B Staff Service Overall: 10/10
The guest praises the staff and crew, saying they are ""amazing"". They specifically mention that the cabin crew, entertainment manager, and bar staff were all brilliant.

5. F&B Quality Main Dining: N/A (not mentioned)
There is no mention of the main dining experience in the review.

6. Entertainment: 9/10
The guest mentions that the entertainment manager was ""brilliant"" and that they have sailed with him before, suggesting a high level of quality and consistency.

7. Excursions: N/A (not mentioned)
There is no mention of excursions or shore activities in the review.

8. Primary Issues Mentioned: N/A (none mentioned)
The guest does not mention any issues or problems during their cruise.

9. Sentiment Analysis: 10/10
The tone of the review is overwhelmingly positive, with the guest using words like ""amazing"", ""brilliant"", and ""outstanding"" to describe their experience. They also express a desire to return to the cruise line, which suggests a high level of satisfaction and loyalty."
,,,,,,,,,,,,,
7.0,,6.0,,6.0,8.0,,,,,,,2,"Based on the guest review, I've assigned scores between 0 and 10:

1. Ship Overall: 7/10
The guest mentions enjoying the pool area, entertainment, and having access to cold water on each deck, which are all positives. However, they don't mention any specific features that would suggest an exceptional overall experience.

2. Ship Rooms: N/A (no mention)
There is no feedback provided about the guest's room or accommodation.

3. F&B Quality Overall: 6/10
The guest mentions enjoying breakfast on the outside deck, which suggests a positive dining experience. However, they also express disappointment with not having a Caribbean food sampling night, which might indicate some room for improvement in terms of variety and quality.

4. F&B Staff Service Overall: N/A (no mention)
There is no feedback provided about the service staff or their performance.

5. F&B Quality Main Dining: 6/10
As mentioned earlier, the guest enjoyed breakfast on the outside deck, but there's no further information about the main dining experience.

6. Entertainment: 8/10
The guest explicitly mentions enjoying the entertainment, which suggests a positive experience in this area.

7. Excursions: N/A (no mention)
There is no feedback provided about excursions or activities offered by the cruise line.

8. Primary Issues Mentioned: 2/10
The primary issue mentioned by the guest is the lack of a Caribbean food sampling night, which might be seen as a minor complaint but still indicates an area for improvement.

9. Sentiment Analysis:
The overall sentiment of the review is positive, with phrases like ""Enjoyed the pool area and the entertainment"" and ""We had a fantastic time thankyou"". However, there's also a hint of disappointment with the lack of variety in dining options, which slightly dampens the overall positivity."
8.0,,7.0,8.0,,4.0,2.0,,,,,,,"Based on the guest review, I've scored each area as follows:

1. Ship Overall: 8/10
The guest mentions that they ""loved the cruise"" and appreciated the friendliness of the staff, indicating a positive overall experience.

2. Ship Rooms: N/A (no mention)
There is no feedback provided about the rooms or their quality.

3. F&B Quality Overall: 7/10
The guest mentions that the cleanliness was great, but does not provide specific feedback on the food quality.

4. F&B Staff Service Overall: 8/10
The guest praises the efficiency and friendliness of the staff, indicating a positive experience with the food and beverage service.

5. F&B Quality Main Dining: N/A (no mention)
There is no feedback provided about the main dining area or its quality.

6. Entertainment: 4/10
The guest mentions that the entertainment lacked variety, specifically mentioning that they missed having comedy nights, magicians, or Caribbean-themed events like on their previous Thomson Cruises experience.

7. Excursions: 2/10
The guest had a disappointing experience with excursions, being told they were on a waiting list and not receiving clear information about costs and alternatives. They also had to wait for an email that never arrived, leading to wasted time trying to contact the rep online.

8. Primary Issues Mentioned: Excursions (40%), Lack of Information/Communication (30%), Entertainment Variety (20%), Hotel Transfer Arrangements (10%)

9. Sentiment Analysis:
The guest's sentiment is mostly positive, with a few negative comments about excursions and entertainment variety. However, they also mention that the efficiency and friendliness of staff were good, and the cleanliness was great. Overall, the tone is constructive and suggests areas for improvement rather than being overly critical.

Note: The scores are subjective and based on my interpretation of the guest review."
9.0,,9.5,10.0,9.5,9.5,8.5,,,,,9.5,2,"Here's my analysis of the guest review:

**Ship Overall: 9/10**
The guest mentions that they loved every minute of their cruise, which suggests a high level of satisfaction with the overall experience.

**Ship Rooms: n/a**
No mention of the rooms or accommodations in the review.

**F&B Quality Overall: 9.5/10**
The guest raves about the food, calling it ""simply amazing"" and stating that they loved every minute of their dining experience.

**F&B Staff Service Overall: 10/10**
The guest praises the staff, describing them as ""amazing"".

**F&B Quality Main Dining: 9.5/10**
Similar to the overall F&B quality rating, the guest is extremely satisfied with the main dining experience.

**Entertainment: 9.5/10**
The guest mentions that the show cast was ""simply amazing"" and enjoyed the entertainment options on board.

**Excursions: 8.5/10**
While the guest mentions that they had great value excursions, there is no specific praise or criticism mentioned in this regard.

**Primary Issues Mentioned: 2/10**
The only minor issue mentioned by the guest is a lack of live background music, which they describe as ""tiny tiny criticism"". This is not a major concern for them and does not detract from their overall satisfaction with the cruise.

**Sentiment Analysis: 9.5/10**
The tone of the review is overwhelmingly positive, with the guest using words like ""simply fantastic"", ""amazing"", and ""loved every minute"" to describe their experience. The only slightly negative comment is a minor one, and it does not affect the overall sentiment of the review."
,,,,,,,,,,,,,"Here's my analysis of the guest review with scores between 0 and 10:

1. **Ship Overall**: 9/10
The guest had a very positive overall experience with the ship, praising its well-run nature and crew's friendliness.

2. **Ship Rooms**: N/A (no specific comments about room quality or amenities)

3. **F&B Quality Overall**: 8/10
The guest mentioned that the food was good, but didn't provide any specific details or criticisms.

4. **F&B Staff Service Overall**: 9/10
The guest praised the crew's friendliness and willingness to go the extra mile.

5. **F&B Quality Main Dining**: N/A (no specific comments about main dining quality)

6. **Entertainment**: N/A (no specific comments about entertainment options or quality)

7. **Excursions**: 6/10
The guest mentioned that some trip descriptions were not accurate, and they didn't have a good experience with the local park's waterfalls.

8. **Primary Issues Mentioned**: 2/10
The primary issues mentioned by the guest were:
- Poor Wi-Fi quality and high charges
- Inaccurate trip descriptions
- Lack of clear route maps

9. **Sentiment Analysis**: 8/10 (very positive overall sentiment, with some minor criticisms)

Note: The scores are subjective and based on my interpretation of the review."
7.0,,4.0,,,3.0,,,,,,,2,"Based on the guest review, I would score the following areas:

1. Ship Overall: 7/10
The guest mentions that they ""overall enjoyed the cruise"", which suggests a positive experience. However, they also mention some negative aspects, such as poor entertainment and issues with the buffet.

2. Ship Rooms: N/A (no mention)
There is no mention of the guest's room or their experience with it.

3. F&B Quality Overall: 4/10
The guest mentions that they did not like the buffet and found it annoying to have to queue up, which suggests a negative experience with food quality overall.

4. F&B Staff Service Overall: N/A (no mention)
There is no mention of the guest's experience with food and beverage staff service.

5. F&B Quality Main Dining: N/A (no mention)
There is no mention of the guest's experience with main dining, such as the quality of meals or service.

6. Entertainment: 3/10
The guest mentions that ""entertainment could have been better"", which suggests a negative experience with entertainment options.

7. Excursions: N/A (no mention)
There is no mention of the guest's experience with excursions.

8. Primary Issues Mentioned: 2 issues
- The buffet and queuing system were major annoyances for the guest.
- The tannoy announcements were too loud and difficult to understand.

9. Sentiment Analysis:
The sentiment of the review is mixed, with both positive and negative comments. However, if I had to lean towards one aspect, it would be that the guest was more frustrated with the buffet and entertainment options than anything else."
8.0,9.0,8.0,9.0,,,,,,,,6.0,2,"Based on the guest review, I would rate the following attributes:

1. Ship Overall: 8/10
The guest was ""very impressed"" with the ship, indicating a high level of satisfaction. However, they mentioned two significant issues that brought down their overall experience.

2. Ship Rooms: 9/10
The guest described their cabin as ""very comfortable"" and praised the cleanliness. They also appreciated the special touches from the cabin staff, particularly Reginald's team for decorating their cabin on their anniversary.

3. F&B Quality Overall: 8/10
The guest mentioned that the food was ""lovely"", but did not provide any specific details about other aspects of the F&B experience.

4. F&B Staff Service Overall: 9/10
The guest praised Jordan, a server at Latitude 53, for being ""very polite and professional"". They also complimented Candy on the front desk for her evening service.

5. F&B Quality Main Dining: N/A (not mentioned in the review)
6. Entertainment: N/A (not mentioned in the review)

7. Excursions: N/A (not mentioned in the review)

8. Primary Issues Mentioned: 2/10
The guest's primary issues were:
- Lack of support for guests with mobility difficulties when disembarking.
- Port terminals being too far away from the ship, making it difficult for guests to get off.

9. Sentiment Analysis: 6/10 (neutral)
While the guest was generally satisfied with their experience, they expressed two significant concerns that brought down their overall satisfaction. The tone of the review is constructive and highlights areas for improvement, but also expresses frustration and disappointment."
10.0,,10.0,,10.0,,,,,,,10.0,N/A,"Based on the review ""Everything was perfect"", I would assign the following scores:

1. Ship Overall: 10/10
The guest mentions that everything was perfect, indicating a high level of satisfaction with the overall experience.

2. Ship Rooms: N/A (not mentioned)
Since the guest does not mention anything about their room, it's difficult to assess its quality or any issues they may have encountered.

3. F&B Quality Overall: 10/10
The guest mentions that everything was perfect, which suggests a high level of satisfaction with the food and beverage options on board.

4. F&B Staff Service Overall: N/A (not mentioned)
Similar to the ship rooms, the guest does not mention anything about the service they received from the food and beverage staff.

5. F&B Quality Main Dining: 10/10
As mentioned earlier, the guest's overall satisfaction with the food and beverage options suggests a high level of quality in the main dining area.

6. Entertainment: N/A (not mentioned)
The guest does not mention anything about the entertainment options on board, so it's difficult to assess their quality or enjoyment.

7. Excursions: N/A (not mentioned)
Similarly, the guest does not mention anything about the excursions they participated in, making it impossible to evaluate their quality or experience.

8. Primary Issues Mentioned: N/A (no issues mentioned)
The guest explicitly states that everything was perfect, indicating no primary issues were encountered during their stay.

9. Sentiment Analysis: 10/10
The sentiment of the review is overwhelmingly positive, with the guest expressing complete satisfaction and happiness with their experience on board."
7.0,4.0,8.0,9.0,8.0,,,,,,,7.0,2,"Based on the guest review, I would score the following areas:

1. Ship Overall: 7/10
The guest mentions that their cabin was ""dated and tired looking"", which is a negative aspect. However, they also mention that all staff were ""really good"" and that restaurants and food were of a high standard, which are positive aspects.

2. Ship Rooms: 4/10
The guest's cabin was described as ""dated and tired looking"", which suggests that it did not meet their expectations in terms of quality and condition.

3. F&B Quality Overall: 8/10
The guest mentions that restaurants and food were of a high standard, with plenty of variety, which is a positive aspect.

4. F&B Staff Service Overall: 9/10
The guest praises all staff as ""really good"", ""attentive"", ""polite"", ""hard working"" and ""professional"", indicating excellent service.

5. F&B Quality Main Dining: 8/10
This score is based on the guest's positive comments about restaurants and food, which suggests that main dining was of a high standard.

6. Entertainment: N/A
The guest does not mention entertainment in their review, so I would rate this as 'n/a'.

7. Excursions: N/A
The guest also does not mention excursions in their review, so I would rate this as 'n/a'.

8. Primary Issues Mentioned: 2/10 (Sunbed shortage and cabin condition)
The guest mentions two primary issues: a shortage of sunbeds on sea days and the condition of their cabin.

9. Sentiment Analysis: 7/10
Overall, the guest's sentiment is positive, with several glowing comments about staff service and F&B quality. However, they also mention some negative aspects, such as the cabin condition and sunbed shortage, which brings down the overall score slightly."
